index,cluster_date,region_key,bbox,frp_median,risco_mean,pre_id,pre_datetime,pre_cloud,post_id,post_datetime,post_cloud,Coordenadas_pixel(linha-coluna)_ndvi,Coordenadas_pixel(linha-coluna)_nbr,Coordenadas_pixel(linha-coluna)_nbrswir
3.0,2024-08-03,"BBOX:-51.0002,-12.7524,-49.9887,-11.7577","[-50.680715764205985, -12.156412210162701, -50.59088423579403, -12.068580565989636]",104.3,0.9983639398998332,S2A_MSIL2A_20240723T133841_N0511_R124_T22LEM_20240723T210210,2024-07-23 13:38:41+00:00,0.001765,S2A_MSIL2A_20240812T133841_N0511_R124_T22LEM_20240812T183146,2024-08-12 13:38:41+00:00,0.001548,373-650,222-331,222-331
15.0,2024-08-14,"BBOX:-51.0002,-12.7524,-49.9887,-11.7577","[-50.69411576420597, -12.156412210162701, -50.48808423579403, -11.954161867626489]",101.2,0.9952837209302328,S2B_MSIL2A_20240807T133839_N0511_R124_T22LEM_20240807T172418,2024-08-07 13:38:39+00:00,0.00205,S2A_MSIL2A_20240822T133831_N0511_R124_T22LEM_20240822T201749,2024-08-22 13:38:31+00:00,0.002233,435-1034,500-637,500-637
19.0,2024-08-17,"BBOX:-51.0002,-12.7524,-49.9887,-11.7577","[-50.70211576420598, -12.194605906069196, -50.586384235794036, -12.068280516726404]",100.0,0.9992312971859988,S2B_MSIL2A_20240807T133839_N0511_R124_T22LEM_20240807T172418,2024-08-07 13:38:39+00:00,0.00205,S2B_MSIL2A_20240827T133839_N0511_R124_T22LEM_20240827T173321,2024-08-27 13:38:39+00:00,0.001294,440-897,300-460,300-460
39.0,2024-09-02,"BBOX:-51.0002,-12.7524,-49.9887,-11.7577","[-50.683525764205974, -12.387833713635978, -50.58498423579402, -12.297518504770341]",109.5,0.9993837705918244,S2A_MSIL2A_20240822T133831_N0511_R124_T22LEM_20240822T201749,2024-08-22 13:38:31+00:00,0.002233,S2A_MSIL2A_20240911T133831_N0511_R124_T22LEM_20240911T190800,2024-09-11 13:38:31+00:00,0.682519,274-704,149-351,135-339
,2024-08-01,"BBOX:-51.0002,-12.7524,-49.9887,-11.7577","[-50.300065764205975, -11.991029282314292, -50.21023423579402, -11.903143586658175]",94.55,0.985958904109589,S2A_MSIL2A_20240723T133841_N0511_R124_T22LEM_20240723T210210,2024-07-23 13:38:41+00:00,0.001765,S2B_MSIL2A_20240807T133839_N0511_R124_T22LEM_20240807T172418,2024-08-07 13:38:39+00:00,0.00205,488-379,203-235,203-235
,2024-08-04,"BBOX:-51.0002,-11.8485,-49.9922,-10.8538","[-50.65201576420597, -11.302448060057298, -50.51738423579402, -11.194742206268472]",116.3,0.9980559254327565,S2B_MSIL2A_20240728T133839_N0511_R124_T22LEN_20240728T155417,2024-07-28 13:38:39+00:00,0.001556,S2A_MSIL2A_20240812T133841_N0511_R124_T22LEN_20240812T183146,2024-08-12 13:38:41+00:00,0.006314,261-499,132-248,130-249
,2024-08-14,"BBOX:-51.0002,-12.7524,-49.9887,-11.7577","[-50.69411576420597, -12.156412210162701, -50.48808423579403, -11.954161867626489]",101.2,0.9952837209302328,S2B_MSIL2A_20240807T133839_N0511_R124_T22LEM_20240807T172418,2024-08-07 13:38:39+00:00,0.00205,S2A_MSIL2A_20240822T133831_N0511_R124_T22LEM_20240822T201749,2024-08-22 13:38:31+00:00,0.002233,500-1333,409-800,420-800
,2024-08-24,"BBOX:-51.0002,-12.7524,-49.9887,-11.7577","[-50.66821576420597, -12.081124579668549, -50.53548423579402, -11.97386507505111]",104.4,0.9959719142645972,S2B_MSIL2A_20240817T133839_N0511_R124_T22LEM_20240817T173224,2024-08-17 13:38:39+00:00,0.001433,S2A_MSIL2A_20240901T133831_N0511_R124_T22LEM_20240901T205952,2024-09-01 13:38:31+00:00,0.002236,500-1060,143-521,140-524
,2024-09-11,"BBOX:-51.0002,-11.8485,-49.9922,-10.8538","[-50.746315764205974, -11.81513767284549, -50.64805423579402, -11.687018893086726]",111.7,0.9993362831858408,S2A_MSIL2A_20240901T133831_N0511_R124_T22LEN_20240901T205952,2024-09-01 13:38:31+00:00,0.352418,S2A_MSIL2A_20240921T133831_N0511_R124_T22LEN_20240921T185248,2024-09-21 13:38:31+00:00,0.062581,512-810,184-389,181-391
